City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,puerto ayora,ec,73.0,broken clouds,1.3739576073727946,-95.56175810161322,
290,mwene-ditu,cd,65.01,moderate rain,-7.577579713984622,22.70071398665564,
291,laguna,br,57.2,clear sky,-29.597031750258587,-47.72666570024332,
292,miraflores,co,69.8,clear sky,1.6084877810558915,-71.4027978092348,
294,narsaq,gl,32.0,overcast clouds,81.77227644377203,-66.64390525351439,
295,albany,au,32.0,broken clouds,-39.02621025922132,114.31212144962065,
296,atherton,au,36.0,broken clouds,-17.380238782090853,144.98722808428124,
297,nishihara,jp,69.8,broken clouds,23.30505298823677,129.68518711451594,
298,ternate,id,81.45,overcast clouds,2.8139301374373464,127.78060982477464,
299,tiznit,ma,57.47,clear sky,28.725330314306326,-9.455294088668076,
300,galesong,id,77.0,few clouds,-5.250198292194046,117.9928416629729,
302,bluff,nz,69.01,clear sky,-71.84539282617041,165.45768284918526,
303,atuona,pf,79.03,clear sky,-6.223468570051656,-127.28120631318205,
304,ushuaia,ar,66.2,broken clouds,-77.24395547157687,-26.56003599299318,
305,punta arenas,cl,60.8,scattered clouds,-87.3851540927243,-97.84598076056429,
306,mutoko,zw,66.42,overcast clouds,-17.121753642503194,32.70557700637165,
307,ushuaia,ar,66.2,broken clouds,-74.99549552519343,-31.90888061630412,
308,albany,au,32.0,broken clouds,-76.43434344062905,113.39652660730728,
310,upernavik,gl,17.1,overcast clouds,85.6071103915086,-48.88917597317425,
311,new norfolk,au,62.01,clear sky,-74.38081912285651,128.74255762924477,
312,punta arenas,cl,60.8,scattered clouds,-74.88871668719558,-84.5902117123331,
313,faanui,pf,80.58,overcast clouds,-0.04190894671520285,-159.531791474921,
314,kavaratti,in,81.46,clear sky,12.160206133461935,71.46022170626084,
315,jamestown,sh,33.01,clear sky,-11.695232825920902,1.8552408036635537,
316,moron,mn,80.01,few clouds,50.75763832540085,99.63710064403921,
317,cape town,za,64.99,clear sky,-56.663407456122414,1.8501203009451728,
318,waipawa,nz,57.99,overcast clouds,-44.380259833134616,176.23684180788968,
319,atuona,pf,79.03,clear sky,0.7410870862208994,-147.78540318611857,
321,ribeira grande,pt,57.06,broken clouds,39.45924673991287,-40.29747248188543,
322,porto belo,br,77.0,scattered clouds,-26.867687654179978,-46.5542044607646,
323,tasiilaq,gl,26.6,overcast clouds,76.609183616582,-35.563847852453925,
324,gore,et,69.01,clear sky,7.799121682143425,35.59623109943992,
326,hilo,us,77.0,moderate rain,8.301673112607894,-143.36272837499732,
327,maniitsoq,gl,39.74,light rain,63.62055400974597,-56.26341544272239,
328,ribeira grande,pt,57.06,broken clouds,42.47778240334178,-39.685671561174175,
331,tasiilaq,gl,26.6,overcast clouds,58.01295133655732,-32.84463406437487,
334,poya,nc,82.71,scattered clouds,-25.615591103520448,162.00918976616762,
335,moerai,pf,77.38,broken clouds,-21.21828058639716,-151.66563571768387,
336,jamestown,sh,33.01,clear sky,-26.144433856239953,-20.442173721652,
337,arraial do cabo,br,75.2,clear sky,-36.79384920964296,-23.180307082128376,
338,kikwit,cd,71.04,overcast clouds,-5.73604640604146,19.571559692961035,
339,pisco,pe,71.6,broken clouds,-18.252622327127565,-83.77461798843177,
340,jamestown,sh,33.01,clear sky,-50.80580895845686,-13.306163187061562,
342,arraial do cabo,br,75.2,clear sky,-45.68324225785997,-23.44614415180727,
343,lompoc,us,57.2,clear sky,20.9264525808835,-129.59460285971952,
344,punta arenas,cl,60.8,scattered clouds,-70.9120534921935,-99.16514230454823,
347,hobart,au,62.01,scattered clouds,-79.86807778428681,134.83066163945136,
348,ushuaia,ar,66.2,broken clouds,-61.882690998060596,-45.344000320537965,
349,marzanesti,ro,52.52,overcast clouds,43.918435667661626,25.477114465531567,
350,ribeira grande,pt,57.06,broken clouds,29.173136664584646,-44.247544394454025,
351,ushuaia,ar,66.2,broken clouds,-65.7107107633652,-44.114966394116955,
352,ribeira grande,pt,57.06,broken clouds,34.10194836899891,-43.397143165237466,
353,el alto,pe,67.23,overcast clouds,-3.9719365346736737,-83.73772860547764,
354,grindavik,is,33.8,scattered clouds,52.170292424874326,-27.573757321747113,
355,longyearbyen,sj,23.0,light snow,85.94418541740058,27.541376101192807,
357,chicama,pe,68.0,overcast clouds,-15.132516512559727,-91.49021265383062,
358,salinopolis,br,81.43,heavy intensity rain,1.333196661395201,-46.56794963798504,
359,cape town,za,64.99,clear sky,-39.45530422749261,9.07901512249213,
360,saint george,bm,48.2,scattered clouds,30.589982154480854,-48.678433128770564,
361,torbay,ca,37.99,overcast clouds,42.07499576881722,-45.8861261757637,
362,kapaa,us,80.6,light rain,29.92130919616077,-161.70420850258313,
363,ushuaia,ar,66.2,broken clouds,-86.06325785132427,-37.24579513388638,
364,mount vernon,us,37.4,scattered clouds,38.329078092143945,-88.7771991844355,
367,tra vinh,vn,75.25,broken clouds,9.243530329426587,107.12342453508515,
369,kondoa,tz,61.63,overcast clouds,-5.350321270214481,35.708396019352314,
372,chapais,ca,6.8,light snow,57.07650900323318,-73.3509432917827,
373,tecoanapa,mx,79.7,scattered clouds,5.642298724136023,-102.41958493157243,
375,rikitea,pf,78.26,light rain,-73.86539572652065,-132.49122540117116,
376,nome,us,27.0,heavy snow,59.656594594790576,-168.26848275389492,
377,beringovskiy,ru,19.15,snow,54.621931520502365,176.52490086992316,
378,bethel,us,30.0,clear sky,51.295759621065294,-163.75870766934833,
379,villablino,es,42.01,light rain,42.84247952460673,-6.202638301932026,"Hotel Rural ""El Holandés Errante"""
380,carnarvon,au,80.6,clear sky,-19.24375615457139,102.11368467925564,
382,hermanus,za,61.0,overcast clouds,-84.85554512331895,-4.529986335295328,
383,saint-joseph,re,77.0,clear sky,-32.6361891431263,56.5963135272129,
384,bredasdorp,za,59.0,broken clouds,-77.17560988904278,18.308043390786096,
386,airai,pw,68.04,overcast clouds,16.55005325711631,140.1031504730195,
387,tiksi,ru,2.3,overcast clouds,86.47862770528967,131.25186405964675,
389,port alfred,za,66.99,scattered clouds,-88.68329917113596,55.702772683526,
390,rikitea,pf,78.26,light rain,-61.33863791785741,-115.9288014325835,
391,puerto ayora,ec,73.0,broken clouds,-6.874828774904058,-104.51261438350157,
393,beringovskiy,ru,19.15,snow,47.21994287455274,179.67266530583484,
394,punta arenas,cl,60.8,scattered clouds,-69.63452608637036,-106.59323341348049,
395,volot,ru,23.94,broken clouds,57.85419403092548,30.948467342789694,
396,masallatah,ly,48.09,clear sky,33.20565036246846,13.960499969152467,
397,whitecourt,ca,24.8,broken clouds,54.09689070006514,-115.20567352989146,
398,hithadhoo,mv,81.91,few clouds,-2.651346560833942,65.36663591103776,
399,mahebourg,mu,73.4,shower rain,-42.092809854638155,71.73682906300509,
400,sulangan,ph,81.27,moderate rain,12.028925461585144,129.4055049754774,
401,praya,id,71.6,broken clouds,-10.827566448421075,116.15369591307136,
402,bonfim,br,81.64,overcast clouds,2.0904407589356837,-59.26242882738556,
403,auki,sb,86.81,moderate rain,-9.064261175352303,161.11835186083547,
404,mataura,pf,69.01,clear sky,-66.45554193275419,-162.99618529975618,
405,paamiut,gl,41.23,light rain,62.47038094356215,-51.303705427450936,
407,atlantis,za,63.0,clear sky,-33.56667876775449,18.10555405437636,
408,pierre,us,24.8,overcast clouds,44.65395404636035,-100.2058356594734,Tangle Tree Lodge
409,castro,cl,63.19,scattered clouds,-49.815297382339594,-103.32607709696596,
410,ushuaia,ar,66.2,broken clouds,-76.45678107213615,-24.203397139192308,
412,iqaluit,ca,28.0,light snow,62.90594056290867,-76.17723447781923,
413,kaitangata,nz,57.0,clear sky,-85.28356084935473,178.51504674612613,
414,visby,se,39.0,overcast clouds,57.47923579089074,18.785359016559468,
415,nhulunbuy,au,84.2,broken clouds,-11.613797289467314,138.26782723514395,
416,hobart,au,62.01,scattered clouds,-80.96977582769044,136.66574328872264,
417,avarua,ck,78.8,light rain,-36.392832224326696,-163.23310113289196,
418,thap than,th,77.0,clear sky,15.243331873498368,99.31535323359041,
419,mataura,pf,69.01,clear sky,-65.62192021053382,-157.56398830227437,
420,robe,et,57.63,broken clouds,8.141439647559428,39.91356027783653,IRCON Camp Chole
421,rikitea,pf,78.26,light rain,-51.26868809856959,-133.65021755983497,
422,longyearbyen,sj,23.0,light snow,85.58741934403524,16.81294739281035,
423,hermanus,za,61.0,overcast clouds,-70.03654738342905,2.3829548036086363,
424,san vicente,ph,74.68,light rain,19.2351754159208,127.33277783095748,
425,kapaa,us,80.6,light rain,21.46777451766697,-175.4045284494958,
426,upernavik,gl,17.1,overcast clouds,81.40347211729815,-53.61587139736789,
427,hilo,us,77.0,moderate rain,21.759345619213306,-145.17894732905702,
428,bredasdorp,za,59.0,broken clouds,-63.65816043135996,20.200741188033586,
429,bredasdorp,za,59.0,broken clouds,-49.833539028707506,21.83610764881519,
431,busselton,au,61.0,clear sky,-36.46154444421425,104.30901404104529,
432,punta arenas,cl,60.8,scattered clouds,-76.57487215845894,-94.63694160250269,
